GoodDay,1,60
ParleG,2,60
Patanjali,4,50
GoodDay,9,60
ParleG,1,40
Patanjali,12,90
Bournvita,1,60
Sunfeast,9,90
ParleG,2,60
Bournvita,9,90
Sunfeast,1,40
Bourbon,13,80
Sunfeast,1,60
GoodDay,7,60
Sunfeast,4,80
Unibic,12,30
GoodDay,1,50
Bournvita,2,40
ParleG,2,50
Patanjali,7,40
GoodDay,2,60
Happy Happy,7,30
Bourbon,2,50
Patanjali,12,40
GoodDay,1,60
Bournvita,2,70
Sunfeast,2,30
Bournvita,1,30
GoodDay,4,80
SoyaStick,12,50
ParleG,9,50
SoyaStick,2,50
Bournvita,9,90
Happy Happy,9,90
SoyaStick,12,90
Patanjali,4,30
GoodDay,12,40
ParleG,13,60
SoyaStick,4,80
Happy Happy,2,50
Happy Happy,7,30
Happy Happy,2,40
Unibic,12,90
Patanjali,1,60
Happy Happy,2,60
Bournvita,13,60
Hide&Seek,2,60
ParleG,2,60
Unibic,9,40
Sunfeast,2,40
Patanjali,4,50
SoyaStick,2,70
Patanjali,7,70
ParleG,9,60
Bournvita,9,60
Patanjali,7,50
Sunfeast,2,30
ParleG,9,70
Hide&Seek,9,70
SoyaStick,4,50
ParleG,2,50
Happy Happy,2,90
Bournvita,7,40
Bournvita,7,90
Sunfeast,13,40
Sunfeast,12,60
SoyaStick,13,40
Sunfeast,2,80
Hide&Seek,4,90
Patanjali,13,50
Sunfeast,2,70
Sunfeast,2,80
Hide&Seek,7,80
Unibic,9,50
Bourbon,12,30
Bourbon,1,30
Unibic,12,50
Unibic,2,60
Unibic,12,70
Happy Happy,12,60
SoyaStick,1,40
Happy Happy,13,60
SoyaStick,7,40
GoodDay,12,50
Unibic,1,40
ParleG,13,40
GoodDay,2,40
Hide&Seek,7,50
Unibic,2,30
ParleG,1,50
SoyaStick,4,50
GoodDay,7,80
Sunfeast,13,90
Unibic,9,90
Unibic,13,30
Bournvita,2,50
Patanjali,13,70
Sunfeast,4,40
Sunfeast,1,80
Happy Happy,12,70
